ID,HowRare.is,MoonRank
1642,6395,6456
1643,1914,4032
1644,2694,2042
1645,4506,3793
1646,866,1608
1647,5916,6986
1648,5610,5109
1649,1077,574
1650,9673,9094
1651,9877,10019
1652,388,671
1653,4586,3799
1654,9985,9971
1655,8341,8653
1656,596,202
1657,604,568
1658,57,822
1659,2400,2885
1660,1229,1263
1661,7300,6754
1662,3959,5394
1663,1713,3636
1664,8262,7920
1665,7684,6999
1666,217,1010
1667,726,275
1668,4790,5114
1669,5868,5179
1670,1792,1305
1671,8220,7738
1672,2886,4156
1673,3834,3756
1674,7970,7488
1675,2201,3088
1676,7930,7138
1677,5787,4998
1678,1583,1123
1679,2087,1684
1680,1653,1188
1681,5189,4789
1682,2432,1783
1683,1400,922
1684,9467,9797
1685,6344,6312
1686,644,674
1687,4141,5493
1688,9532,9839
1689,5950,5809
1690,2705,2620
1691,4391,3524
1692,9835,9743
1693,3434,2707
1694,7817,7054
1695,9608,9622
1696,523,356
1697,1009,552
1698,6003,5054
1699,2961,2543
1700,2994,2392
1701,4287,4276
1702,2698,2043
1703,7023,7053
1704,4039,3438
1705,1544,1330
1706,4274,3753
1707,4270,3624
1708,3444,2671
1709,6581,6478
1710,7776,7698
1711,5019,4423
1712,1629,1742
